0,1,2,3
2004-07,"3,532,947","9,452",0.27%
2004-08,"3,540,658","9,533",0.27%
2004-09,"3,549,783","9,542",0.27%
2004-10,"3,558,993","9,619",0.27%
2004-11,"3,567,434","9,193",0.26%
2004-12,"3,568,640","9,226",0.26%
2005-01,"3,571,472","9,733",0.27%
2005-02,"3,572,642","9,769",0.27%
2005-03,"3,581,192","9,565",0.27%
2005-04,"3,590,201","9,150",0.25%
2005-05,"3,590,361","9,125",0.25%
2005-06,"3,604,358","8,848",0.25%
2005-07,"3,617,811","8,868",0.25%
2005-08,"3,608,600","9,121",0.25%
2005-09,"3,632,907","9,341",0.26%
2005-10,"3,640,013","9,421",0.26%
2005-11,"3,647,533","9,505",0.26%
2005-12,"3,648,902","9,877",0.27%
2006-01,"3,649,692","10,046",0.28%
2006-02,"3,653,010","9,658",0.26%
2006-03,"3,663,684","9,180",0.25%
2006-04,"3,670,811","9,140",0.25%
2006-05,"3,680,775","8,987",0.24%
2006-06,"3,695,880","8,908",0.24%
2006-07,"3,696,591","9,007",0.24%
2006-08,"3,703,397","8,918",0.24%
2006-09,"3,710,447","9,082",0.24%
2006-10,"3,714,237","9,009",0.24%
2006-11,"3,708,209","9,178",0.25%
2006-12,"3,708,101","9,367",0.25%
2007-01,"3,730,441","9,548",0.26%
2007-02,"3,734,093","9,705",0.26%
2007-03,"3,737,989","9,540",0.26%
2007-04,"3,744,684","9,447",0.25%
2007-05,"3,753,087","9,282",0.25%
2007-06,"3,762,600","9,211",0.24%
2007-07,"3,772,664","9,280",0.25%
2007-08,"3,758,306","9,350",0.25%
2007-09,"3,787,584","9,704",0.26%
2007-10,"3,793,131","9,729",0.26%
2007-11,"3,807,831","9,862",0.26%
2007-12,"3,805,288","9,709",0.26%
2008-01,"3,811,089","10,100",0.27%
2008-02,"3,809,140","10,376",0.27%
2008-03,"3,822,749","10,438",0.27%
2008-04,"3,830,155","10,068",0.26%
2008-05,"3,842,289","10,250",0.27%
2008-06,"3,852,207","10,319",0.27%
2008-07,"3,864,025","10,420",0.27%
2008-08,"3,871,038","10,866",0.28%
2008-09,"3,893,801","11,265",0.29%
2008-10,"3,898,269","11,459",0.29%
2008-11,"3,900,999","12,048",0.31%
2008-12,"3,899,180","12,914",0.33%
2009-01,"3,895,819","14,024",0.36%
2009-02,"3,896,634","14,676",0.38%
2009-03,"3,904,521","15,064",0.39%
2009-04,"3,921,587","15,628",0.40%
2009-05,"3,930,128","16,114",0.41%
2009-06,"3,944,859","16,436",0.42%
2009-07,"3,954,709","16,711",0.42%
2009-08,"3,964,534","17,040",0.43%
2009-09,"3,971,828","17,256",0.43%
2009-10,"3,980,635","17,459",0.44%
2009-11,"3,992,985","17,747",0.44%
2009-12,"3,995,778","18,059",0.45%
2010-01,"3,999,451","17,999",0.45%
2010-02,"4,002,280","18,139",0.45%
2010-03,"4,012,855","17,601",0.44%
2010-04,"4,029,133","17,229",0.43%
2010-05,"4,043,802","16,784",0.42%
2010-06,"4,064,446","17,090",0.42%
2010-07,"4,067,168","17,119",0.42%
2010-08,"4,073,932","17,294",0.42%
2010-09,"4,077,303","17,316",0.42%
2010-10,"4,174,899","17,742",0.42%
2010-11,"4,184,289","17,686",0.42%
2010-12,"4,189,355","18,177",0.43%
As at:,"(1)
Total
Number of
Mortgages","(2)
Number of
Mortgages
in Arrears","(3)
% of Arrears to
Total Number
of Mortgages"
1995-01,"174,736",533,0.31%
1995-02,"174,860",551,0.32%
1995-03,"175,596",527,0.30%
1995-04,"176,862",542,0.31%
1995-05,"179,066",604,0.34%
1995-06,"180,227",578,0.32%
1995-07,"180,920",609,0.34%
1995-08,"182,086",616,0.34%
1995-09,"183,043",619,0.34%
1995-10,"183,612",635,0.35%
1995-11,"185,140",636,0.34%
1995-12,"185,546",639,0.34%
1996-01,"188,516",749,0.40%
1996-02,"188,978",737,0.39%
1996-03,"189,823",734,0.39%
1996-04,"190,478",708,0.37%
1996-05,"191,649",716,0.37%
1996-06,"192,665",709,0.37%
1996-07,"193,548",726,0.38%
1996-08,"194,346",756,0.39%
1996-09,"195,157",767,0.39%
1996-10,"196,074",765,0.39%
1996-11,"197,128",848,0.43%
1996-12,"197,858",910,0.46%
1997-01,"198,360",972,0.49%
1997-02,"199,133",978,0.49%
1997-03,"199,861",977,0.49%
1997-04,"200,054",966,0.48%
1997-05,"201,036","1,022",0.51%
1997-06,"202,228",994,0.49%
1997-07,"202,832","1,004",0.49%
1997-08,"203,918","1,018",0.50%
1997-09,"204,597","1,043",0.51%
1997-10,"205,155","1,019",0.50%
1997-11,"205,586","1,042",0.51%
1997-12,"205,935","1,075",0.52%
1998-01,"206,220","1,149",0.56%
1998-02,"206,574","1,133",0.55%
1998-03,"207,116","1,086",0.52%
1998-04,"208,236","1,084",0.52%
1998-05,"209,132","1,087",0.52%
1998-06,"210,685","1,068",0.51%
1998-07,"211,862","1,081",0.51%
1998-08,"212,735","1,117",0.53%
1998-09,"213,740","1,136",0.53%
1998-10,"214,820","1,133",0.53%
1998-11,"215,785","1,184",0.55%
1998-12,"216,305","1,234",0.57%
1999-01,"216,562","1,257",0.58%
1999-02,"217,016","1,237",0.57%
1999-03,"217,739","1,189",0.55%
1999-04,"218,699","1,150",0.53%
1999-05,"219,817","1,151",0.52%
1999-06,"221,181","1,143",0.52%
1999-07,"233,386","1,114",0.50%
1999-08,"224,470","1,141",0.51%
1999-09,"225,385","1,139",0.51%
1999-10,"226,056","1,096",0.48%
1999-11,"226,512","1,034",0.46%
1999-12,"226,852","1,048",0.46%
2000-01,"226,927","1,062",0.47%
2000-02,"227,136","1,060",0.47%
2000-03,"227,404","1,064",0.47%
2000-04,"227,558","1,014",0.45%
2000-05,"228,528","1,043",0.46%
2000-06,"238,743","1,120",0.47%
2000-07,"239,624","1,219",0.51%
2000-08,"240,449","1,275",0.53%
2000-09,"241,234","1,274",0.53%
2000-10,"241,733","1,323",0.55%
2000-11,"242,226","1,329",0.55%
2000-12,"242,350","1,369",0.56%
2001-01,"242,355","1,426",0.59%
2001-02,"242,589","1,395",0.58%
2001-03,"244,211","1,385",0.57%
2001-04,"245,208","1,379",0.56%
2001-05,"245,440","1,417",0.58%
2001-06,"247,229","1,395",0.56%
2001-07,"247,968","1,427",0.58%
2001-08,"248,650","1,499",0.60%
2001-09,"249,531","1,525",0.61%
2001-10,"249,553","1,482",0.59%
2001-11,"250,999","1,500",0.60%
2001-12,"252,255","1,581",0.63%
2002-01,"251,845","1,586",0.63%
2002-02,"252,327","1,605",0.64%
2002-03,"252,838","1,671",0.66%
2002-04,"253,720","1,652",0.65%
2002-05,"254,862","1,529",0.60%
2002-06,"256,179","1,479",0.58%
2002-07,"257,098","1,455",0.57%
2002-08,"258,251","1,428",0.55%
2002-09,"260,300","1,444",0.55%
2002-10,"260,986","1,336",0.51%
2002-11,"261,456","1,296",0.50%
2002-12,"261,556","1,358",0.52%
2003-01,"261,682","1,414",0.54%
2003-02,"261,807","1,384",0.53%
2003-03,"262,171","1,379",0.53%
2003-04,"262,866","1,342",0.51%
2003-05,"263,729","1,350",0.51%
2003-06,"265,104","1,285",0.48%
2003-07,"266,279","1,282",0.48%
2003-08,"267,168","1,314",0.49%
2003-09,"268,459","1,307",0.49%
2003-10,"269,391","1,287",0.48%
2003-11,"269,954","1,262",0.47%
2003-12,"269,861","1,290",0.48%
2004-01,"269,985","1,310",0.49%
2004-02,"270,251","1,285",0.48%
2004-03,"270,677","1,196",0.44%
2004-04,"272,073","1,164",0.43%
2004-05,"273,093","1,170",0.43%
2004-06,"274,520","1,114",0.41%
2004-07,"275,699","1,113",0.40%
2004-08,"276,744","1,124",0.41%
2004-09,"278,212","1,140",0.41%
2004-10,"280,372","1,155",0.41%
2004-11,"279,761","1,172",0.42%
2004-12,"279,799","1,208",0.43%
2005-01,"280,199","1,292",0.46%
2005-02,"280,011","1,284",0.46%
2005-03,"280,694","1,216",0.43%
2005-04,"281,407","1,151",0.41%
2005-05,"282,487","1,152",0.41%
2005-06,"283,790","1,142",0.40%
2005-07,"284,751","1,121",0.39%
2005-08,"285,373","1,161",0.41%
2005-09,"286,467","1,155",0.40%
2005-10,"287,137","1,197",0.42%
2005-11,"287,636","1,172",0.41%
2005-12,"287,799","1,235",0.43%
2006-01,"287,729","1,281",0.45%
2006-02,"287,814","1,232",0.43%
2006-03,"288,332","1,165",0.40%
2006-04,"288,660","1,173",0.41%
2006-05,"289,376","1,168",0.40%
2006-06,"290,431","1,130",0.39%
2006-07,"290,801","1,140",0.39%
2006-08,"291,407","1,172",0.40%
2006-09,"292,108","1,192",0.41%
2006-10,"292,283","1,149",0.39%
2006-11,"291,746","1,151",0.39%
2006-12,"291,743","1,192",0.41%
2007-01,"291,742","1,195",0.41%
2007-02,"291,897","1,203",0.41%
2007-03,"291,927","1,165",0.40%
2007-04,"292,312","1,134",0.39%
2007-05,"292,666","1,101",0.38%
2007-06,"292,923","1,086",0.37%
2007-07,"293,841","1,067",0.36%
2007-08,"293,653","1,082",0.37%
2007-09,"294,744","1,072",0.36%
2007-10,"295,271","1,058",0.36%
2007-11,"296,340","1,097",0.37%
2007-12,"296,407","1,147",0.39%
2008-01,"296,514","1,216",0.41%
2008-02,"296,331","1,222",0.41%
2008-03,"298,497","1,238",0.41%
2008-04,"298,436","1,174",0.39%
2008-05,"299,074","1,133",0.38%
2008-06,"299,656","1,121",0.37%
2008-07,"300,368","1,172",0.39%
2008-08,"301,263","1,239",0.41%
2008-09,"302,505","1,236",0.41%
2008-10,"302,900","1,205",0.40%
2008-11,"303,223","1,244",0.41%
2008-12,"303,224","1,280",0.42%
2009-01,"302,988","1,390",0.46%
2009-02,"303,162","1,399",0.46%
2009-03,"303,434","1,340",0.44%
2009-04,"304,704","1,357",0.45%
2009-05,"305,302","1,413",0.46%
2009-06,"306,524","1,422",0.46%
2009-07,"307,443","1,477",0.48%
2009-08,"308,367","1,490",0.48%
2009-09,"309,053","1,525",0.49%
2009-10,"309,776","1,561",0.50%
2009-11,"310,302","1,543",0.50%
2009-12,"310,704","1,598",0.51%
2010-01,"310,835","1,581",0.51%
2010-02,"311,073","1,615",0.52%
2010-03,"311,565","1,568",0.50%
2010-04,"312,314","1,476",0.47%
2010-05,"313,040","1,426",0.46%
2010-06,"313,885","1,374",0.44%
2010-07,"314,568","1,405",0.45%
2010-08,"315,135","1,412",0.45%
2010-09,"315,472","1,437",0.46%
2010-10,"316,282","1,419",0.45%
2010-11,"317,038","1,390",0.44%
2010-12,"317,326","1,441",0.45%
As at:,"(1)
Total
Number of
Mortgages","(2)
Number of
Mortgages
in Arrears","(3)
% of Arrears to
Total Number
of Mortgages"
1995-01,"446,647","3,480",0.78%
1995-02,"447,542","3,433",0.77%
1995-03,"450,239","3,476",0.77%
1995-04,"451,806","3,516",0.78%
1995-05,"463,816","3,721",0.80%
1995-06,"465,611","3,580",0.77%
1995-07,"470,229","3,764",0.80%
1995-08,"465,732","3,836",0.82%
1995-09,"466,302","3,852",0.83%
1995-10,"466,771","3,884",0.83%
1995-11,"468,007","4,155",0.89%
1995-12,"468,286","4,241",0.91%
1996-01,"469,956","4,099",0.87%
1996-02,"470,964","4,492",0.95%
1996-03,"474,094","4,749",1.00%
1996-04,"476,136","4,800",1.01%
1996-05,"479,289","4,673",0.97%
1996-06,"479,677","4,322",0.90%
1996-07,"478,069","4,289",0.90%
1996-08,"477,155","4,277",0.90%
1996-09,"478,511","4,400",0.92%
1996-10,"479,223","4,336",0.90%
1996-11,"480,321","4,590",0.96%
1996-12,"481,196","4,942",1.03%
1997-01,"481,887","5,010",1.04%
1997-02,"484,363","4,727",0.98%
1997-03,"486,115","4,761",0.98%
1997-04,"491,014","4,690",0.96%
1997-05,"494,171","4,698",0.95%
1997-06,"495,266","4,491",0.91%
1997-07,"494,207","4,253",0.86%
1997-08,"494,275","4,186",0.85%
1997-09,"496,112","4,117",0.83%
1997-10,"491,306","4,099",0.83%
1997-11,"489,902","3,936",0.80%
1997-12,"488,596","3,997",0.82%
1998-01,"488,641","4,262",0.87%
1998-02,"489,079","4,189",0.86%
1998-03,"490,636","4,011",0.82%
1998-04,"492,821","3,826",0.78%
1998-05,"497,223","3,714",0.75%
1998-06,"503,686","3,712",0.74%
1998-07,"503,783","3,487",0.69%
1998-08,"504,950","3,379",0.67%
1998-09,"506,094","3,346",0.66%
1998-10,"499,740","2,981",0.60%
1998-11,"516,947","3,202",0.62%
1998-12,"517,632","3,380",0.65%
1999-01,"515,517","3,253",0.63%
1999-02,"516,284","3,255",0.63%
1999-03,"518,181","3,095",0.60%
1999-04,"520,736","3,001",0.58%
1999-05,"525,270","3,028",0.58%
1999-06,"529,747","2,708",0.51%
1999-07,"503,232","2,417",0.48%
1999-08,"504,242","2,499",0.49%
1999-09,"504,885","2,441",0.48%
1999-10,"505,992","2,243",0.44%
1999-11,"506,897","2,258",0.45%
1999-12,"507,470","2,279",0.45%
2000-01,"507,383","2,326",0.46%
2000-02,"506,259","2,173",0.43%
2000-03,"507,410","2,118",0.42%
2000-04,"508,492","2,084",0.41%
2000-05,"512,648","2,008",0.39%
2000-06,"522,595","1,803",0.35%
2000-07,"523,942","1,849",0.35%
2000-08,"523,862","1,893",0.36%
2000-09,"523,772","1,857",0.35%
2000-10,"524,406","2,102",0.40%
2000-11,"512,938","2,053",0.40%
2000-12,"513,116","2,133",0.42%
2001-01,"513,102","2,370",0.46%
2001-02,"513,601","2,311",0.45%
2001-03,"514,370","2,315",0.45%
2001-04,"516,108","2,358",0.46%
2001-05,"520,062","2,433",0.47%
2001-06,"523,631","2,232",0.43%
2001-07,"524,327","2,341",0.45%
2001-08,"525,257","2,264",0.43%
2001-09,"526,409","2,133",0.41%
2001-10,"523,777","2,318",0.44%
2001-11,"529,536","2,079",0.39%
2001-12,"530,873","2,233",0.42%
2002-01,"529,896","2,216",0.42%
2002-02,"530,749","2,019",0.38%
2002-03,"532,382","1,945",0.37%
2002-04,"534,806","1,848",0.35%
2002-05,"540,055","1,796",0.33%
2002-06,"544,028","1,511",0.28%
2002-07,"544,542","1,494",0.27%
2002-08,"545,967","1,360",0.25%
2002-09,"549,024","1,455",0.27%
2002-10,"550,342","1,357",0.25%
2002-11,"545,243","1,282",0.24%
2002-12,"551,831","1,340",0.24%
2003-01,"543,751","1,307",0.24%
2003-02,"544,299","1,249",0.23%
2003-03,"545,673","1,241",0.23%
2003-04,"547,794","1,244",0.23%
2003-05,"552,098","1,221",0.22%
2003-06,"549,505","1,097",0.20%
2003-07,"550,434","1,106",0.20%
2003-08,"551,558","1,105",0.20%
2003-09,"547,075","1,165",0.21%
2003-10,"549,057","1,204",0.22%
2003-11,"550,924","1,121",0.20%
2003-12,"551,248","1,132",0.21%
2004-01,"551,955","1,144",0.21%
2004-02,"553,145","1,217",0.22%
2004-03,"555,843","1,186",0.21%
2004-04,"567,474","1,174",0.21%
2004-05,"571,874","1,210",0.21%
2004-06,"575,761","1,059",0.18%
2004-07,"575,897","1,000",0.17%
2004-08,"577,292","1,042",0.18%
2004-09,"572,220","1,014",0.18%
2004-10,"580,189","1,001",0.17%
2004-11,"582,877",942,0.16%
2004-12,"583,471","1,002",0.17%
2005-01,"584,194","1,097",0.19%
2005-02,"584,714","1,039",0.18%
2005-03,"586,207","1,051",0.18%
2005-04,"588,448",977,0.17%
2005-05,"580,530",963,0.17%
2005-06,"583,271",839,0.14%
2005-07,"590,000",840,0.14%
2005-08,"578,730",963,0.17%
2005-09,"584,651",944,0.16%
2005-10,"585,944",930,0.16%
2005-11,"586,692",936,0.16%
2005-12,"586,894","1,023",0.17%
2006-01,"587,162","1,114",0.19%
2006-02,"587,677","1,063",0.18%
2006-03,"588,987","1,032",0.18%
2006-04,"590,609","1,079",0.18%
2006-05,"593,616","1,076",0.18%
2006-06,"596,175","1,070",0.18%
2006-07,"595,248","1,079",0.18%
2006-08,"596,410","1,104",0.19%
2006-09,"597,564","1,139",0.19%
2006-10,"598,527","1,132",0.19%
2006-11,"598,979","1,171",0.20%
2006-12,"598,836","1,190",0.20%
2007-01,"599,431","1,270",0.21%
2007-02,"599,936","1,305",0.22%
2007-03,"600,011","1,341",0.22%
2007-04,"601,476","1,326",0.22%
2007-05,"604,707","1,351",0.22%
2007-06,"606,296","1,268",0.21%
2007-07,"606,861","1,254",0.21%
2007-08,"603,988","1,294",0.21%
2007-09,"609,067","1,350",0.22%
2007-10,"609,858","1,303",0.21%
2007-11,"611,374","1,311",0.21%
2007-12,"611,233","1,400",0.23%
2008-01,"611,231","1,475",0.24%
2008-02,"611,081","1,548",0.25%
2008-03,"613,436","1,588",0.26%
2008-04,"614,787","1,528",0.25%
2008-05,"617,607","1,587",0.26%
2008-06,"618,916","1,587",0.26%
2008-07,"619,516","1,487",0.24%
2008-08,"619,439","1,496",0.24%
2008-09,"622,614","1,570",0.25%
2008-10,"623,039","1,549",0.25%
2008-11,"623,399","1,624",0.26%
2008-12,"622,727","1,796",0.29%
2009-01,"622,205","1,944",0.31%
2009-02,"622,806","2,008",0.32%
2009-03,"624,027","2,125",0.34%
2009-04,"628,486","2,185",0.35%
2009-05,"631,098","2,201",0.35%
2009-06,"634,349","2,204",0.35%
2009-07,"636,049","2,201",0.35%
2009-08,"637,682","2,253",0.35%
2009-09,"639,280","2,284",0.36%
2009-10,"641,110","2,350",0.37%
2009-11,"643,021","2,439",0.38%
2009-12,"643,588","2,481",0.39%
2010-01,"643,887","2,406",0.37%
2010-02,"644,869","2,469",0.38%
2010-03,"646,762","2,409",0.37%
2010-04,"649,948","2,378",0.37%
2010-05,"654,785","2,358",0.36%
2010-06,"659,393","2,305",0.35%
2010-07,"659,716","2,256",0.34%
2010-08,"661,530","2,315",0.35%
2010-09,"662,993","2,321",0.35%
2010-10,"743,603","2,574",0.35%
2010-11,"746,780","2,569",0.34%
2010-12,"748,580","2,628",0.35%
As at:,"(1)
Total
Number of
Mortgages","(2)
Number of
Mortgages
in Arrears","(3)
% of Arrears to
Total Number
of Mortgages"
1995-01,"883,509","4,777",0.54%
1995-02,"883,991","4,742",0.54%
1995-03,"881,128","4,735",0.54%
1995-04,"885,195","4,741",0.54%
1995-05,"911,835","5,178",0.57%
1995-06,"916,207","5,308",0.58%
1995-07,"918,400","5,300",0.58%
1995-08,"921,577","5,816",0.63%
1995-09,"925,264","5,818",0.63%
1995-10,"926,551","5,775",0.62%
1995-11,"956,964","5,729",0.60%
1995-12,"958,476","5,656",0.59%
1996-01,"969,289","6,128",0.63%
1996-02,"972,103","6,357",0.65%
1996-03,"978,267","6,288",0.64%
1996-04,"982,006","6,190",0.63%
1996-05,"987,869","6,103",0.62%
1996-06,"992,187","6,042",0.61%
1996-07,"994,207","5,870",0.59%
1996-08,"998,698","5,983",0.60%
1996-09,"1,002,223","6,198",0.62%
1996-10,"1,005,656","5,889",0.59%
1996-11,"1,015,437","6,124",0.60%
1996-12,"1,018,525","6,264",0.62%
1997-01,"1,023,720","6,209",0.61%
1997-02,"1,028,385","6,394",0.62%
1997-03,"1,030,116","6,187",0.60%
1997-04,"1,036,627","5,882",0.57%
1997-05,"1,045,989","5,946",0.57%
1997-06,"1,050,699","5,739",0.55%
1997-07,"1,053,379","5,414",0.51%
1997-08,"1,057,940","5,396",0.51%
1997-09,"1,060,101","5,118",0.48%
1997-10,"1,063,598","4,979",0.47%
1997-11,"1,051,767","4,862",0.46%
1997-12,"1,064,272","4,845",0.46%
1998-01,"1,067,388","4,729",0.44%
1998-02,"1,069,305","4,612",0.43%
1998-03,"1,073,637","4,299",0.40%
1998-04,"1,076,587","4,267",0.40%
1998-05,"1,080,798","4,322",0.40%
1998-06,"1,090,023","4,368",0.40%
1998-07,"1,094,655","4,300",0.39%
1998-08,"1,097,865","4,366",0.40%
1998-09,"1,100,831","4,383",0.40%
1998-10,"1,107,318","4,270",0.39%
1998-11,"1,199,098","4,945",0.41%
1998-12,"1,200,251","5,282",0.44%
1999-01,"1,200,280","5,625",0.47%
1999-02,"1,202,572","5,682",0.47%
1999-03,"1,206,636","5,494",0.46%
1999-04,"1,213,708","5,230",0.43%
1999-05,"1,222,122","5,388",0.44%
1999-06,"1,236,886","5,066",0.41%
1999-07,"1,233,198","4,863",0.39%
1999-08,"1,238,518","4,771",0.39%
1999-09,"1,243,065","4,715",0.38%
1999-10,"1,246,519","4,478",0.36%
1999-11,"1,249,360","4,360",0.35%
1999-12,"1,251,093","4,457",0.36%
2000-01,"1,251,848","4,692",0.37%
2000-02,"1,254,266","4,701",0.37%
2000-03,"1,256,040","4,687",0.37%
2000-04,"1,256,450","4,648",0.37%
2000-05,"1,260,026","4,691",0.37%
2000-06,"1,442,364","4,805",0.33%
2000-07,"1,445,544","4,909",0.34%
2000-08,"1,449,417","4,874",0.34%
2000-09,"1,452,455","4,913",0.34%
2000-10,"1,447,422","4,932",0.34%
2000-11,"1,445,884","4,828",0.33%
2000-12,"1,446,447","5,072",0.35%
2001-01,"1,446,021","5,285",0.37%
2001-02,"1,446,287","5,162",0.36%
2001-03,"1,447,675","4,991",0.34%
2001-04,"1,448,650","4,958",0.34%
2001-05,"1,455,592","4,749",0.33%
2001-06,"1,461,228","4,700",0.32%
2001-07,"1,466,155","4,686",0.32%
2001-08,"1,485,731","4,796",0.32%
2001-09,"1,487,331","4,952",0.33%
2001-10,"1,489,143","5,247",0.35%
2001-11,"1,494,285","5,428",0.36%
2001-12,"1,495,732","5,842",0.39%
2002-01,"1,493,663","5,899",0.39%
2002-02,"1,493,596","5,716",0.38%
2002-03,"1,495,641","5,723",0.38%
2002-04,"1,497,066","5,651",0.38%
2002-05,"1,500,435","5,390",0.36%
2002-06,"1,505,380","5,137",0.34%
2002-07,"1,506,856","4,949",0.33%
2002-08,"1,512,181","4,812",0.32%
2002-09,"1,521,012","4,875",0.32%
2002-10,"1,522,348","4,779",0.31%
2002-11,"1,524,964","4,697",0.31%
2002-12,"1,523,746","4,848",0.32%
2003-01,"1,531,337","4,882",0.32%
2003-02,"1,531,742","4,935",0.32%
2003-03,"1,533,329","4,909",0.32%
2003-04,"1,534,145","4,770",0.31%
2003-05,"1,537,253","4,619",0.30%
2003-06,"1,542,795","4,589",0.30%
2003-07,"1,544,449","4,534",0.29%
2003-08,"1,549,209","4,768",0.31%
2003-09,"1,550,403","4,848",0.31%
2003-10,"1,552,349","4,896",0.32%
