realtime_start,realtime_end,date,Mortgage Delinquency Rate
2025-01-31,2025-01-31,2015-07-01,5.39
2025-01-31,2025-01-31,2015-10-01,5.11
2025-01-31,2025-01-31,2016-01-01,4.78
2025-01-31,2025-01-31,2016-04-01,4.59
2025-01-31,2025-01-31,2016-07-01,4.38
2025-01-31,2025-01-31,2016-10-01,4.14
2025-01-31,2025-01-31,2017-01-01,3.91
2025-01-31,2025-01-31,2017-04-01,3.68
2025-01-31,2025-01-31,2017-07-01,3.64
2025-01-31,2025-01-31,2017-10-01,3.57
2025-01-31,2025-01-31,2018-01-01,3.48
2025-01-31,2025-01-31,2018-04-01,3.22
2025-01-31,2025-01-31,2018-07-01,2.99
2025-01-31,2025-01-31,2018-10-01,2.83
2025-01-31,2025-01-31,2019-01-01,2.69
2025-01-31,2025-01-31,2019-04-01,2.60
2025-01-31,2025-01-31,2019-07-01,2.44
2025-01-31,2025-01-31,2019-10-01,2.34
2025-01-31,2025-01-31,2020-01-01,2.35
2025-01-31,2025-01-31,2020-04-01,2.54
2025-01-31,2025-01-31,2020-07-01,2.83
2025-01-31,2025-01-31,2020-10-01,2.75
2025-01-31,2025-01-31,2021-01-01,2.68
2025-01-31,2025-01-31,2021-04-01,2.47
2025-01-31,2025-01-31,2021-07-01,2.3
2025-01-31,2025-01-31,2021-10-01,2.29
2025-01-31,2025-01-31,2022-01-01,2.09
2025-01-31,2025-01-31,2022-04-01,1.96
2025-01-31,2025-01-31,2022-07-01,1.84
2025-01-31,2025-01-31,2022-10-01,1.79
2025-01-31,2025-01-31,2023-01-01,1.74
2025-01-31,2025-01-31,2023-04-01,1.72
2025-01-31,2025-01-31,2023-07-01,1.72
2025-01-31,2025-01-31,2023-10-01,1.70
2025-01-31,2025-01-31,2024-01-01,1.71
2025-01-31,2025-01-31,2024-04-01,1.73
2025-01-31,2025-01-31,2024-07-01,1.73
